Title,Land Size,Location,Total Price,Monthly Payment
Factory For Sale In Wellawa,3800sqft,,"18,000,000","269,958"
Land With House For Sale In Makulewa,7 Acres,,,
Land For Rent In Minuwangoda,18 Perches,,,
Shop For Rent In Colombo 05,sqft,,,"35,000"
Land For Sale In Bandaragama,10 Perches,,"4,000,000","56,833"
Land For Sale In Pokunuwita,10 Perches,,"3,250,000","46,177"
House For Rent In Gampaha,"Beds-3, Baths-2 Size-3000sqft",,,"75,000"
House For Sale In Beruwala,"Beds-2, Baths-1 Size-sqft",,"17,000,000","241,541"
Land For Sale In Yatadolawatta,10 Perches,,"5,750,000","81,698"
Land For Sale In Panadura,6 Perches,,"4,050,000","57,544"
House For Sale In Kottawa,"Beds-4, Baths-3 Size-2650sqft",,"27,500,000","390,728"
Land For Sale In Panadura,44 Acres,,"15,400,000","218,808"
Land For Sale In Panadura,15 Perches,,"4,500,000","63,937"
Land For Sale In Hadapangoda,16.5 Perches,,"2,475,000","35,166"
Land For Sale In Wattala,10 Perches,,"4,500,000","63,937"
Land For Sale In Monaragala,10 Perches,,"27,000,000","383,624"
Land For Sale In Ganemulla,12.5 Perches,,"12,300,000","174,762"
Annex For Rent In Katunayake,"Beds-1, Baths-1",,,"15,000"
Room For Rent In Malabe,"Beds-1, Baths-1",,,"18,000"
Annex For Rent In Boralesgamuwa,"Beds-1, Baths-1",,,"35,000"
Land For Sale In Kadawatha,10 Perches,,"8,500,000","120,771"
House For Sale In Maharagama,"Beds-3, Baths-2 Size-sqft",,"59,500,000","845,394"
House For Rent In Kadawatha,"Beds-2, Baths-1 Size-900sqft",,,"22,000"
House For Rent In Katugastota,"Beds-3, Baths-2 Size-1800sqft",,,"40,000"
Land For Sale In Anuradhapura,728 Perches,,"582,400,000","8,274,912"
House For Sale In Mahabage,"Beds-4, Baths-3 Size-2800sqft",,"22,000,000","312,583"
Hotel For Rent In Tissamaharama,6500sqft,,,"200,000"
Commercial Building For Sale In Kadugannawa,2400sqft,,"21,000,000","298,374"
Land For Sale In Gamagoda,10 Perches,,"1,700,000","24,154"
Land For Sale In Gampaha,9 Perches,,"20,700,000","294,112"
House For Sale In Kurunegala,"Beds-5, Baths-4 Size-2500sqft",,"21,500,000","305,478"
House For Sale Wattala,"Beds-6, Baths-2 Size-3300sqft",,"25,000,000","355,207"
Land For Sale In Homagama,7.9 Perches,,"5,135,000","72,960"
Land For Sale In Godagama,7.9 Perches,,"5,135,000","72,960"
Land For Sale In Watareka,7.9 Perches,,"5,135,000","72,960"
Land For Sale In Meegoda,7.9 Perches,,"5,135,000","72,960"
Land For Sale In Kirindiwela,10 Perches,,"2,750,000","39,073"
